geoid,1980,1990,2000,2010,Sequence
06037101110,3,3,3,3,3
06037101122,3,3,3,3,3
06037101210,4,4,4,4,1
06037101220,4,4,3,4,2
06037101300,3,3,3,3,3
06037101400,3,3,3,3,3
06037102103,3,3,3,3,3
06037102104,3,3,3,3,3
06037102105,3,3,3,1,0
06037102107,3,3,3,3,3
06037103101,3,3,3,3,3
06037103102,3,3,3,3,3
06037103200,3,3,3,3,3
06037103300,3,3,3,2,0
06037103400,3,3,3,3,3
06037104103,0,3,1,1,2
06037104105,1,1,1,1,1
06037104108,1,1,1,1,1
06037104124,0,3,3,3,0
06037104201,1,1,1,1,1
06037104203,0,1,1,1,0
06037104204,0,1,1,1,0
06037104310,1,1,1,1,1
06037104320,1,1,1,1,1
06037104401,1,1,1,1,1
06037104403,1,1,1,1,1
06037104404,1,1,1,1,1
06037104500,1,1,1,1,1
06037104610,1,1,1,1,1
06037104620,1,1,1,1,1
06037104701,1,1,1,1,1
06037104703,1,1,1,1,1
06037104704,1,1,1,1,1
06037104810,1,1,1,1,1
06037104821,1,1,1,1,1
06037104822,1,1,1,1,1
06037106010,3,3,3,3,3
06037106020,3,3,3,3,3
06037106111,3,3,3,3,3
06037106112,3,3,3,3,3
06037106113,3,3,3,3,3
06037106114,3,3,1,1,0
06037106403,3,1,1,1,0
06037106405,3,3,3,4,0
06037106406,3,3,3,3,3
06037106407,3,1,1,4,2
06037106408,3,3,1,1,0
06037106510,3,3,3,3,3
06037106520,3,3,1,1,0
06037106603,2,3,3,3,0
06037106604,1,1,1,1,1
06037106641,3,3,3,3,3
06037106642,3,3,3,3,3
06037106643,3,3,3,3,3
06037106645,3,3,3,3,3
06037106646,3,3,3,3,3
06037106648,1,1,1,1,1
06037106649,1,1,1,3,0
06037107010,3,1,1,1,0
06037107020,1,1,1,1,1
06037108101,3,3,3,3,3
06037108102,3,3,3,3,3
06037108103,3,3,3,3,3
06037108104,3,3,3,3,3
06037108201,3,3,3,3,3
06037108202,3,3,3,2,0
06037109100,3,3,3,3,3
