geoid,layer,Median monthly housing costs,% with 4year college degree,% unemployed,% manufacturing,% below poverty,% structures more than 30 years old,% households moved <10 years ago,% > 60 years old,% service industry,% vacant housing,% owner occupied housing,% multiunit structures,% < 18 years old,% black,% white,% Hispanic,% Asian,% foreign born,% health insurance,% without health insurance,Population,Housing units,Median Age,Median Age - Male,Median Age - Female,% male,% female,% male!!under 5 years,% male!!5 to 9 years,% male!!10 to 14 years,% male!!15 to 17 years,% male!!18 and 19 years,% male!!20 years,% male!!21 years,% male!!22 to 24 years,% male!!25 to 29 years,% male!!30 to 34 years,% male!!35 to 39 years,% male!!40 to 44 years,% male!!45 to 49 years,% male!!50 to 54 years,% male!!55 to 59 years,% male!!60 and 61 years,% male!!62 to 64 years,% male!!65 and 66 years,% male!!67 to 69 years,% male!!70 to 74 years,% male!!75 to 79 years,% male!!80 to 84 years,% male!!85 years and over,% female!!under 5 years,% female!!5 to 9 years,% female!!10 to 14 years,% female!!15 to 17 years,% female!!18 and 19 years,% female!!20 years,% female!!21 years,% female!!22 to 24 years,% female!!25 to 29 years,% female!!30 to 34 years,% female!!35 to 39 years,% female!!40 to 44 years,% female!!45 to 49 years,% female!!50 to 54 years,% female!!55 to 59 years,% female!!60 and 61 years,% female!!62 to 64 years,% female!!65 and 66 years,% female!!67 to 69 years,% female!!70 to 74 years,% female!!75 to 79 years,% female!!80 to 84 years,% female!!85 years and over,% whiteÂ alone,% blackÂ or african american alone,% American Indian and Alaska Native alone,% Asian alone,% Native Hawaiian and other Pacific Islander alone,% some other race alone,% Not Hispanic or Latino,% Hispanic or Latino,% total - foreign born,% foreign born - europe,% foreign born - asia,% foreign born - latin america,% same house 1 year ago,% moved within same county,% moved from different county within same state,% moved from different state,% moved from abroad,% householder lived in owner-occupied housing units,% householder lived in renter-occupied housing units,% different house in united states 1 year ago,"% car, truck, or van",% public transportation,% bicycle,% walked,% walk or bicycle to work,"% taxicab, motorcycle, bicycle, walked, or other means",% living in a place,% living in a place!!worked in place of residence,% living in a place!!worked outside place of residence,% not living in a place,less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes,% no vehicle available,% 1 vehicle available,% 2 vehicles available,% 3 vehicles available,% 4 or more vehicles available,% never married,% now married,% separated,% widowed,% divorced,% speak only english,% speak spanish,% other languages,% income in the past 12 months below poverty level,Median income in the past 12 months,Median household income,Median earnings in the past 12 months,Median gross rent,"% management, business, science, and arts occupations",% service occupations,% sales and office occupations,"% natural resources, construction, and maintenance occupation","% production, transportation, and material moving occupations",% military specific occupations,"% agriculture, forestry, fishing and hunting, and mining",% construction,% wholesale trade,% retail trade,"% transportation and warehousing, and utilities",% information,"% finance and insurance, and real estate and rental and leasing","% professional, scientific, and management, and administrative and waste management services","% educational services, and health care and social assistance","% arts, entertainment, and recreation, and accommodation and food services",% public administration,% armed forces,% median monthly housing costs,% less than high school graduate,% high school graduate (includes equivalency),% some college or associate's degree,% bachelor's degree,% graduate or professional degree,% in labor force,% in labor force!!unemployed,% not in labor force,% in labor force!!employed!!with health insurance coverage,% in labor force!!employed!!no health insurance coverage,% in labor force!!unemployed!!with health insurance coverage,% in labor force!!unemployed!!no health insurance coverage,% not in labor force!!with health insurance coverage,% not in labor force!!no health insurance coverage,% total!!now married (except separated)!!female,% now married (except separated)!!female!!in labor force,% built 2014 or later,% built 2010 to 2013,% built 2000 to 2009,% built 1990 to 1999,% built 1980 to 1989,% built 1970 to 1979,% built 1960 to 1969,% built 1950 to 1959,% built 1940 to 1949,% built 1939 or earlier,Median year structure built,Pop in occupied housing units,% pop in owner occupied,% pop in owner occupied!!moved in 2017 or later,% pop in owner occupied!!moved in 2015 to 2016,% pop in owner occupied!!moved in 2010 to 2014,% pop in renter occupied,% pop in renter occupied!!moved in 2017 or later,% pop in renter occupied!!moved in 2015 to 2016,% pop in renter occupied!!moved in 2010 to 2014,% occupied,% vacant,% owner occupied,% renter occupied,% family households,% family households!!married-couple family,% married-couple family!!1-unit structures,% family households!!married-couple family!!2-or-more-unit structures,% nonfamily households!!1-unit structures,% nonfamily households!!2-or-more-unit structures,% veteran,% nonveteran,"% housing units 1-unit, detached","% housing units 1-unit, attached",% housing units 2 units,% housing units 3 or 4 units,% housing units 5 to 9 units,% housing units 10 to 19 units,% housing units 20 or more units,% housing units mobile home,"% housing units boat, rv, van, etc",% housing units two or more
17031010300,2018,1003,19.6937799,3.882528621,3.93258427,16.14950635,87.43748161,64.80633803,24.37593985,19.06991261,10.65019123,34.11261113,80.40829766,14.69172932,31.47368421,58.96240602,16.85714286,2.255639098,22.85714286,82.5037332,17.4962668,400,150,41.6,38.8,43.9,49.53383459,50.46616541,2.015037594,7.650273224,2.367941712,4.068002429,2.884031573,0,0.151791135,2.276867031,8.075288403,7.832422587,12.96296296,7.407407407,8.894960534,6.223436551,5.737704918,2.884031573,1.821493625,3.460837887,2.853673345,4.098360656,1.032179721,1.24468731,2.003642987,6.466030989,2.681764005,2.145411204,0,1.132300358,2.234803337,0.774731824,3.992848629,5.63170441,10.13110846,8.432657926,7.032181168,9.177592372,4.410011919,6.495828367,2.74135876,3.784266985,3.784266985,1.758045292,5.661501788,1.072705602,5.36352801,5.095351609,58.96240602,31.47368421,0.07518797,2.255639098,0.090225564,3.69924812,83.14285714,16.85714286,1520,19.86842105,8.881578947,37.82894737,0,15.11948529,0.628063725,2.665441176,2.297794118,37.18963656,62.81036344,0,58.30212235,29.83770287,1.560549313,3.183520599,4.744069913,0.780274657,100,72.81523096,27.18476904,0,5.598133955,6.364545152,12.86237921,9.596801066,3.732089304,7.93068977,15.26157947,20.05998001,18.59380207,32.6967402,44.25419822,20.18439249,1.975633849,0.889035232,43.03426899,32.16807302,1.739280179,8.455312554,14.60306527,70.63025877,15.24051437,14.12922686,16.14950635,29982,38866,33890,976,41.01123596,19.06991261,21.37952559,7.147315855,11.39200999,0,0,3.245942572,1.092384519,5.711610487,6.179775281,0.436953808,4.900124844,19.85018727,27.34082397,17.75905119,3.401997503,0,1003,11.5215311,26.23923445,22.81339713,19.6937799,19.73205742,79.19362867,4.902576996,836,83.21810182,11.87932118,64.1025641,35.8974359,67.82296651,32.17703349,811,59.55610358,0,0,5.67814063,2.412474257,4.471903501,4.030597234,9.679317446,6.678434834,12.20947337,54.83965872,0,5680,36.88380282,4.439140811,9.546539379,22.29116945,63.11619718,5.188284519,21.42259414,54.86750349,89.34980877,10.65019123,34.11261113,65.88738887,37.43826144,26.04543958,5.762265393,20.28317419,2.436615081,60.12512348,4.036664904,95.9633351,7.678729038,1.735804648,1.500441306,4.854368932,19.82936158,9.002647838,55.39864666,0,0,70.75610474
17031010400,2018,1026,41.0906298,5.882352941,5.495818399,19.06069761,95.0137237,59.28293496,11.7795459,17.32377539,11.34492223,21.25902993,84.93292054,11.02270522,19.30914031,70.91014943,5.996506889,6.34581797,11.35261013,89.60328317,10.39671683,400,100,25.2,29.4,21.6,46.67184165,53.32815835,0.698622162,6.777546778,1.621621622,1.205821206,13.72141372,3.825363825,1.330561331,12.97297297,8.731808732,7.484407484,10.68607069,3.451143451,2.785862786,7.193347193,3.575883576,2.079002079,3.659043659,0.623700624,3.617463617,2.453222453,0,0,0.706860707,1.746724891,2.510917031,3.966521106,2.729257642,27.07423581,9.970887918,3.311499272,3.857350801,10.44395924,5.895196507,6.404657933,0.655021834,2.219796215,5.822416303,2.802037846,0.545851528,4.112081514,1.164483261,1.091703057,1.128093159,0.618631732,1.237263464,0.691411936,70.91014943,19.30914031,0,6.34581797,0,1.300213468,94.00349311,5.996506889,585,18.97435897,33.33333333,13.33333333,0,11.74073355,5.530758781,15.44731225,2.522802251,27.18176765,72.81823235,0,30.54559936,38.70967742,2.508960573,17.84149741,20.35045798,1.035444046,100,76.94145759,23.05854241,0,11.59929701,9.753954306,6.942003515,1.493848858,0.878734622,17.17926186,12.03866432,27.98769772,12.12653779,33.79772962,56.19195046,10.01031992,0,0,68.05288974,20.58008104,2.111324376,1.514182128,7.741522713,85.3817321,3.906095877,10.71217203,19.06069761,20115,39152,21580,1010,52.01115094,17.32377539,24.05416169,0.597371565,6.013540422,0,0,0.438072481,0,12.18637993,1.672640382,2.270011947,5.973715651,12.62445241,32.81561131,19.19553963,0,0,1026,3.302611367,11.29032258,19.93087558,41.0906298,24.38556068,69.2749658,8.491311216,1123,83.05687204,8.451816746,94.41860465,5.581395349,86.28673197,13.71326803,540,70.55555556,0,0,0.731930467,2.973467521,1.280878317,8.142726441,10.84172004,10.93321134,12.16834401,52.92772187,0,3598,27.18176765,3.374233129,6.339468303,6.54396728,72.81823235,9.160305344,26.83206107,39.35114504,88.65507777,11.34492223,21.25902993,78.74097007,33.0753354,22.70381837,2.167182663,19.71104231,1.702786378,65.22187822,3.773173391,96.22682661,3.476669716,0.777676121,0.54894785,4.162854529,19.07593779,8.279963403,62.94602013,0.731930467,0,75.93778591
17031010600,2018,1082,31.7057004,4.329281297,2.576112412,24.38904379,92.18418661,66.55166749,11.2262797,21.0252407,12.90518025,24.76521739,88.10434783,13.41093924,16.42481263,66.75171424,21.84659544,2.583320045,23.98341572,78.65216464,21.34783536,300,150,33,31.2,36.3,51.01259767,48.98740233,1.945463244,6.095654892,2.657080338,0.500156299,4.220068771,5.220381369,6.126914661,5.876836511,11.44107534,11.94123163,8.315098468,4.063769928,12.03501094,4.438887152,6.970928415,2.156924039,0.437636761,0,0.656455142,2.063144733,0.312597687,0.343857455,0.312597687,5.436197917,3.22265625,3.255208333,1.85546875,1.302083333,0.911458333,1.66015625,3.22265625,15.0390625,12.95572917,11.55598958,6.087239583,4.1015625,6.087239583,6.93359375,1.041666667,3.157552083,1.497395833,3.515625,3.190104167,0.29296875,2.115885417,1.5625,66.75171424,16.42481263,0,2.583320045,0,10.71599426,78.15340456,21.84659544,1504,20.34574468,10.43882979,55.51861702,0,15.32554791,0.911854103,1.775715885,0.559910414,29.38849514,70.61150486,0,33.46344002,44.70465782,2.680197762,10.77283372,13.45303149,0.884725475,100,81.0564663,18.9435337,0,3.066104079,5.738396624,5.232067511,9.085794655,4.500703235,12.06751055,13.10829817,28.2419128,18.95921238,43.93043478,43.30434783,11.96521739,0.8,0,55.73323642,30.29256769,2.962020716,2.50772306,8.504452117,65.59679037,21.19692411,13.20628552,24.38904379,26242,47549,32202,993,51.83450429,21.0252407,14.02550091,4.293520687,8.534998699,0.286234712,0.52042675,0,1.431173562,10.14832162,3.382773875,5.490502212,7.936507937,15.43065314,34.81654957,9.003382774,0.4163414,0.286234712,1082,8.020327,14.67079099,23.92841361,31.7057004,21.67476801,86.07378972,5.029732408,653,80.7234886,14.24677899,33.00492611,66.99507389,55.58958652,44.41041348,866,81.06235566,0,0.424113905,2.999091184,2.787034232,1.605574068,7.967282642,8.088458043,11.93577704,12.11754014,52.07512875,0,6087,29.29193363,3.252944476,2.523836231,27.93045429,70.70806637,7.713754647,23.39684015,49.04739777,87.09481975,12.90518025,24.76521739,75.23478261,35.44347826,28.17391304,4.243478261,23.93043478,0.382608696,64.17391304,4.484222181,95.51577782,4.847016056,0,5.301423811,12.66282945,23.84126022,18.63071796,34.7167525,0,0,71.31172372
17031020100,2018,1106,31.3416009,4.671351798,6.332320162,14.23357664,85.66493955,67.1334214,20.25547445,28.0141844,10.42026482,49.10025707,67.6092545,21.637122,30.50052138,38.73826903,21.24608968,10.32325339,36.31386861,78.91690781,21.08309219,250,100,38.2,36.6,41,46.35036496,53.64963504,2.137643379,4.836895388,3.599550056,6.805399325,1.799775028,0,0.562429696,4.49943757,10.57367829,7.817772778,12.26096738,4.386951631,5.680539933,12.82339708,8.886389201,2.249718785,1.237345332,1.406074241,0,3.149606299,2.305961755,0.506186727,0,9.523809524,3.547133139,5.490767736,4.616132167,6.02526725,1.311953353,0,3.498542274,3.206997085,5.490767736,5.92808552,5.976676385,3.15840622,8.60058309,5.247813411,4.324586978,6.559766764,2.818270165,3.984450923,2.67249757,2.7696793,5.247813411,0,38.73826903,30.50052138,0,10.32325339,0,14.15537018,78.75391032,21.24608968,1393,10.69633884,19.81335248,38.04737976,0,7.417289221,0,1.680896478,3.308431163,50.77089532,49.22910468,0,70.71935157,24.31610942,1.063829787,2.077001013,3.1408308,0,100,55.06585613,44.93414387,0,3.86996904,3.560371517,15.84107327,13.05469556,2.992776058,18.1630547,8.978328173,15.17027864,18.36945304,16.06683805,48.32904884,29.56298201,5.976863753,0.064267352,43.8547486,35.41278709,0.341402855,6.362507759,14.02855369,49.32546374,20.79820124,29.87633502,14.23357664,27494,51346,32711,1063,36.32218845,28.0141844,16.21073961,4.711246201,14.74164134,0,0,0.607902736,0.40526849,6.788247214,10.23302938,1.063829787,6.028368794,15.65349544,27.60891591,19.95947315,1.975683891,0,1106,17.09883502,21.1574596,19.35362646,31.3416009,11.04847802,78.00744109,5.988341282,532,74.1918389,19.81981982,38.05309735,61.94690265,87.59398496,12.40601504,572,53.14685315,0,0,5.699481865,2.763385147,5.872193437,10.93839954,9.902130109,19.91940127,6.966033391,37.93897524,1953,3785,50.09247028,3.375527426,3.691983122,43.03797468,49.90752972,4.976177872,20.85759661,58.3906829,89.57973518,10.42026482,49.10025707,50.89974293,48.3933162,34.83290488,16.00257069,18.83033419,2.827763496,48.77892031,2.827677977,97.17232202,3.684513529,14.96833621,3.742084053,10.93839954,37.01784686,11.91709845,17.73172136,0,0,44.3293034
17031280800,2018,589,12.13017751,18.2320442,5.144694534,30.28901734,39.22413793,51.90751445,25.78828829,21.86495177,22.84482759,21.22905028,66.48044693,18.01801802,89.86486486,9.121621622,3.941441441,0,2.477477477,79.00552486,20.99447514,100,60,40.6,34.8,43,52.36486486,47.63513514,0.112612613,6.23655914,10.75268817,7.096774194,0,0,0,0.64516129,16.34408602,9.892473118,1.075268817,8.817204301,3.870967742,5.161290323,2.150537634,3.225806452,4.086021505,1.720430108,5.161290323,0,12.47311828,1.075268817,0,0,4.964539007,4.01891253,2.127659574,0,3.073286052,3.78250591,4.728132388,2.127659574,2.836879433,13.23877069,14.42080378,5.673758865,12.29314421,3.073286052,2.364066194,3.546099291,3.546099291,0,3.546099291,4.491725768,4.255319149,1.891252955,9.121621622,89.86486486,0,0,0,1.013513514,96.05855856,3.941441441,22,0,0,100,0,7.215332582,0,0.563697858,0.563697858,24.65277778,75.34722222,0,54.66237942,27.33118971,0,12.54019293,12.54019293,0,100,79.74276527,20.25723473,0,4.421768707,11.2244898,14.96598639,6.462585034,5.442176871,25.17006803,9.183673469,11.56462585,11.56462585,51.39664804,30.72625698,16.48044693,1.396648045,0,53.37662338,20.25974026,2.987012987,11.94805195,11.42857143,95.71589628,4.28410372,0,30.28901734,17019,17143,25396,460,26.36655949,21.86495177,32.15434084,2.250803859,17.36334405,0,0,2.250803859,0,19.93569132,9.003215434,0,2.572347267,13.82636656,27.0096463,17.36334405,2.893890675,0,589,20.85798817,22.33727811,37.13017751,12.13017751,7.544378698,77.53222836,23.51543943,122,71.49643705,4.988123515,41.41414141,58.58585859,71.31147541,28.68852459,76,51.31578947,1.939655172,12.06896552,33.18965517,5.172413793,8.405172414,9.482758621,13.36206897,3.663793103,0,12.71551724,1995,865,24.73988439,0,7.009345794,16.35514019,75.26011561,0.921658986,5.837173579,54.53149002,77.15517241,22.84482759,21.22905028,78.77094972,39.10614525,18.99441341,5.027932961,13.96648045,4.469273743,52.51396648,5.082417582,94.91758242,11.42241379,4.094827586,11.20689655,21.76724138,11.42241379,4.094827586,32.97413793,1.077586207,1.939655172,70.04310345
17031420300,2018,1064,26.61795407,8.248987854,2.097902098,36.20140217,76.88442211,70.17208413,5.334307636,14.28571429,9.296482412,22.99168975,68.00554017,10.44939715,41.322616,38.43624406,6.86883449,17.82974059,14.06649616,93.01619433,6.983805668,350,90,20.7,20.7,20.6,50.74899525,49.25100475,1.38838144,3.16774658,2.879769618,0.935925126,30.02159827,14.32685385,7.199424046,7.199424046,6.551475882,6.19150468,0.575953924,2.447804176,4.895608351,2.591792657,2.735781138,0.359971202,1.151907847,1.799856012,2.231821454,0,0,0,0,3.264094955,1.409495549,2.002967359,4.525222552,34.94065282,6.15727003,3.189910979,5.934718101,7.270029674,6.15727003,3.041543027,4.005934718,5.934718101,5.637982196,1.409495549,0.445103858,0,0,2.077151335,0.667655786,1.928783383,0,0,38.43624406,41.322616,0,17.82974059,0,1.242236025,93.13116551,6.86883449,385,10.38961039,59.74025974,15.84415584,0,8.874220755,2.310231023,16.61166117,3.997066373,17.57536883,82.42463117,0,35.56443556,28.97102897,3.996003996,23.77622378,27.77222777,3.196803197,100,87.31268731,12.68731269,0,16.94560669,7.531380753,14.0167364,21.23430962,0,13.91213389,5.439330544,10.25104603,10.66945607,40.99722992,38.08864266,20.22160665,0.692520776,0,82.41584158,10.45544554,0.396039604,1.02970297,5.702970297,76.87382298,5.235404896,17.89077213,36.20140217,12694,39091,11605,949,45.85414585,14.28571429,24.27572428,1.998001998,13.58641359,0,0,0.4995005,0,9.290709291,9.99000999,2.197802198,2.097902098,8.391608392,47.05294705,10.98901099,5.394605395,0,1064,3.549060543,12.00417537,28.18371608,26.61795407,29.64509395,56.57894737,14.57960644,858,79.69588551,5.72450805,100,0,91.37529138,8.624708625,139,86.33093525,0,2.261306533,5.778894472,12.56281407,2.512562814,8.793969849,6.909547739,11.18090452,9.045226131,40.95477387,1950,1569,17.46335245,3.284671533,0,0,82.53664755,7.413127413,23.01158301,53.8996139,90.70351759,9.296482412,22.99168975,77.00831025,40.16620499,16.75900277,1.385041551,15.37396122,7.202216066,52.63157895,1.591187271,98.40881273,6.658291457,2.638190955,1.507537688,20.10050251,29.89949749,10.1758794,29.0201005,0,0,60.8040201
17031806600,2018,1539,19.88950276,1.98915009,13.45401174,5.612520237,75.26717557,35.86225451,20.12375572,18.54207436,1.526717557,91.1627907,4.186046512,23.72881356,0.726392252,74.06510627,28.81355932,11.43395211,22.84100081,93.08318264,6.91681736,300,100,38.4,35.7,40.1,52.91902072,47.08097928,3.120796341,9.30350788,6.9649212,2.287747839,2.33858668,4.728012201,0.61006609,3.355363498,5.287239451,8.13421454,5.23640061,6.507371632,9.557702084,7.57498729,5.287239451,4.62633452,1.118454499,1.72852059,0.61006609,3.152008134,2.592780885,1.270971022,1.830198271,4.742857143,7.885714286,7.542857143,2.742857143,2.514285714,0,0.514285714,1.771428571,7.6,4.571428571,9.828571429,5.085714286,5.257142857,7.714285714,8.514285714,1.257142857,2.514285714,3.2,2.057142857,2.514285714,10.57142857,0.514285714,1.085714286,74.06510627,0.726392252,0,11.43395211,0,7.775087436,71.18644068,28.81355932,849,37.1024735,32.74440518,28.85747939,0,4.391433993,0.948766603,0,0.840336134,93.38574139,6.614258607,0,90.94911937,4.305283757,1.076320939,0,1.076320939,1.418786693,100,29.45205479,70.54794521,0,9.55955956,10.16016016,10.21021021,20.97097097,3.253253253,18.76876877,6.956956957,7.207207207,12.91291291,6.046511628,29.30232558,33.87596899,20.3875969,10.3875969,28.48360656,54.30327869,2.459016393,4.918032787,9.836065574,59.09607732,22.76861853,18.13530415,5.612520237,31149,82708,36481,992,34.29549902,18.54207436,22.8962818,8.85518591,15.4109589,0,0,6.457925636,2.837573386,10.56751468,6.898238748,2.739726027,7.045009785,10.46966732,19.42270059,11.35029354,1.369863014,0,1539,8.484609313,28.96606156,32.67561168,19.88950276,9.98421468,90.7323689,2.192326856,205,91.72894868,6.078724464,52.27272727,47.72727273,95.12195122,4.87804878,776,68.29896907,0,3.58778626,8.320610687,5.34351145,7.480916031,3.816793893,12.97709924,45.11450382,9.923664122,3.435114504,1958,3717,93.43556632,0.575871005,8.004606968,26.00057587,6.564433683,8.606557377,12.70491803,32.78688525,98.47328244,1.526717557,91.1627907,8.837209302,71.31782946,56.12403101,53.72093023,1.162790698,19.68992248,3.023255814,2.504409171,97.49559083,75.80152672,7.251908397,0,0.610687023,2.977099237,0,1.145038168,12.21374046,0,1.755725191
17031806502,2018,1249,23.13384813,4.058782365,11.88694929,4.952041044,97.17931498,36.02498327,20.05353558,21.57107232,1.746138348,86.60287081,5.741626794,21.48115101,3.033682802,75.61900513,32.4113317,8.788757528,42.56078519,88.76836949,11.23163051,400,150,39.6,39.2,40.6,49.20811956,50.79188044,3.613651573,3.717135086,5.167724388,3.218495014,3.581142339,1.631912965,3.218495014,2.085222121,6.30099728,9.519492294,4.850407978,7.25294651,7.162284678,8.839528558,8.159564823,3.490480508,4.578422484,0.815956482,1.450589302,3.263825929,1.67724388,1.314596555,1.359927471,6.236275801,10.01317523,2.898550725,4.303908652,2.898550725,0,1.537110233,3.469477383,3.996486605,7.202459376,7.290294247,4.04040404,9.090909091,9.134826526,5.797101449,1.229688186,3.249890206,3.03030303,2.108036891,2.547211243,3.337725077,4.479578393,2.108036891,75.61900513,3.033682802,0,8.788757528,0,8.81106402,67.5886683,32.4113317,1908,32.54716981,20.02096436,47.06498952,0,5.291723202,0.565355043,0.158299412,0.271370421,87.94663048,12.05336952,0,89.27680798,1.330008313,0,2.285951787,2.285951787,1.579384871,100,30.67331671,69.32668329,0,18.87373515,11.43862736,20.54553454,9.458864936,5.147382314,13.46238451,3.739551254,10.47074351,6.863176419,3.212576897,25.15379357,42.44702666,20.16404648,9.022556391,31.22797506,55.8145839,2.087286528,6.126321496,4.743833017,41.6367552,30.31825796,28.04498684,4.952041044,32656,71359,34475,1213,24.4804655,21.57107232,23.06733167,10.30756442,20.57356608,0,0.290939318,13.4247714,3.740648379,8.561928512,7.19035744,0.997506234,6.275976725,9.600997506,19.61762261,11.76226101,0.332502078,0,1249,14.57528958,31.5958816,24.87129987,23.13384813,5.823680824,85.09447166,4.769736842,426,85.19736842,10.03289474,85.34482759,14.65517241,85.91549296,14.08450704,1010,67.42574257,0,0.402955003,0,0,2.41773002,6.380120887,16.31967764,43.98925453,22.49832102,7.9919409,1954,4483,88.1106402,3.164556962,4.227848101,26.50632911,11.8893598,0,10.31894934,41.46341463,98.25386165,1.746138348,86.60287081,13.39712919,73.41079973,61.24401914,58.71496924,2.529049897,23.37662338,3.212576897,4.488636364,95.51136364,69.10678308,23.03559436,3.693754197,0.470114171,0,2.216252518,1.477501679,0,0,7.857622565
17031805902,2018,1621,30,0.692562481,14.14035088,5.732706046,81.05074091,32.18150087,29.36351706,10.14035088,7.094746295,81.92363461,7.346544224,21.63713911,0.688976378,83.97309711,5.561023622,12.07349081,28.46128609,95.03161698,4.968383017,400,150,46.5,41.7,50.4,49.9835958,50.0164042,2.723097113,7.942238267,6.137184116,4.36494913,0.525106662,2.133245816,2.36297998,1.608139153,6.924844109,8.171972432,1.969149984,6.301279947,7.64686577,10.27239908,2.986544142,1.936330817,5.316704956,1.214309157,2.297341648,3.807023302,3.347554972,2.527075812,4.758779127,5.083633978,3.870121351,5.083633978,5.346015087,0.68875041,1.311905543,0,2.099048868,4.558871761,1.967858314,5.477205641,8.068219088,5.903574943,12.20072155,4.82125287,1.37750082,5.313217448,1.869465398,3.771728436,5.673991473,3.148573303,4.263693014,8.101016727,83.97309711,0.688976378,0,12.07349081,0,0.262467192,94.43897638,5.561023622,1735,62.42074928,29.45244957,5.187319885,0,5.918232773,0.115397296,0.51104517,0.280250577,84.47368421,15.52631579,0,77.29824561,9.438596491,0.421052632,5.228070175,5.649122807,2.631578947,100,16.94736842,83.05263158,0,5.35450517,12.85081241,13.10930576,9.711964549,4.579025111,18.42688331,16.32200886,6.646971935,12.9985229,7.733204447,30.44949251,37.31271145,19.04301595,5.46157564,27.93219003,57.50049281,0.118273211,8.594520008,5.85452395,52.77922078,5.142857143,42.07792208,5.732706046,41090,103417,54985,1141,46.73684211,10.14035088,29.43859649,8.350877193,5.333333333,0,0,11.85964912,9.578947368,5.298245614,3.438596491,0.561403509,9.929824561,5.894736842,29.0877193,4.280701754,3.01754386,0,1621,7.078651685,23.16853933,21.37078652,30,18.38202247,82.71604938,0.837277029,574,94.13906079,5.023662177,100,0,95.29616725,4.703832753,1474,60.31207598,0.404131118,0,9.96856758,6.286484059,2.290076336,5.882352941,35.51863493,34.88998653,2.963628199,1.796138303,1963,5730,84.55497382,2.435500516,4.891640867,14.34468524,15.44502618,0,22.93785311,66.77966102,92.9052537,7.094746295,81.92363461,18.07636539,74.52875785,63.41227646,59.73900435,3.673272112,21.79797003,3.673272112,5.024073686,94.97592631,84.77772789,2.918724742,1.347103727,6.286484059,1.077682982,1.436910642,2.155365963,0,0,11.22586439
17031100200,2018,1035,22.213755,2.750538149,4.714285714,9.626865672,95.16666667,30.36594473,27.57566938,22.51428571,4.366666667,75.35726734,35.09933775,19.04831199,2.371944121,89.1589057,11.04481956,1.833527357,12.26717113,98.92370246,1.076297536,350,150,41.5,39.1,47.3,47.22060536,52.77939464,3.637951106,5.885978428,8.75192604,1.109399076,0.554699538,0,1.047765794,4.930662558,8.844375963,6.409861325,8.228043143,5.115562404,7.765793529,5.423728814,5.454545455,2.958397535,4.961479199,1.8798151,3.697996918,3.636363636,1.232665639,2.434514638,1.972265023,4.356217259,4.962779156,4.41135925,1.378549766,0.992555831,0,0,1.819685691,13.86821064,3.225806452,9.539564378,3.336090433,5.017921147,4.328646264,10.89054315,4.190791288,4.604356217,1.599117728,4.687069203,5.266060105,5.238489109,4.852495175,1.433691756,89.1589057,2.371944121,0,1.833527357,0,3.841676368,88.95518044,11.04481956,843,72.59786477,11.8623962,13.64175563,0,7.119929968,0.262620368,1.473592063,0.277210388,81.81818182,18.18181818,0,85.48571429,10.42857143,1,0.828571429,1.828571429,0,100,58.17142857,41.82857143,0,6.606255481,6.927798889,7.658579363,15.28792751,5.612394037,18.32797428,12.36480561,14.58637825,12.62788658,14.84837923,34.61136284,35.2039038,12.51307076,2.823283374,37.63497964,46.50380598,2.584528235,6.302000354,6.974685785,78.51175743,5.925123762,15.56311881,9.626865672,41119,74201,48656,1082,36.8,22.51428571,24.51428571,4.714285714,11.45714286,0,0.371428571,6.942857143,3.057142857,9.428571429,5.685714286,1.714285714,4.6,15.91428571,24.05714286,7.057142857,10.8,0,1035,6.496475519,31.16784149,27.33854067,22.213755,12.78338731,81.4159292,3.378378378,777,95.74030552,0.881316099,100,0,98.06949807,1.930501931,1310,63.12977099,0,0,0.8,0.4,3.633333333,18.43333333,12.83333333,15.36666667,14.43333333,34.1,1951,6695,81.86706497,1.423097975,5.582922824,12.05984309,18.13293503,2.224052718,14.99176277,64.16803954,95.63333333,4.366666667,75.35726734,24.64273266,57.44161729,44.57999303,37.01638201,7.563611014,15.02265598,27.53572673,4.350170771,95.64982923,57.06666667,0.233333333,10.03333333,5.833333333,9.733333333,3.133333333,13.96666667,0,0,32.96666667
