geoid,period,Health Care Center (/100k pop),HIV
1001,2012,3.7961534,15.5
1003,2012,2.507915,7.5
1005,2012,6.6419898,14.71
1007,2012,4.2073106,17.7
1009,2012,2.6300766,6.92
1011,2012,6.17979,38.19
1013,2012,4.4382024,40.7
1015,2012,2.6115804,17.2
1017,2012,3.426748,11.74
1019,2012,3.9207396,15.37
1021,2012,3.0213342,6.85
1023,2012,5.4166936,0
1025,2012,0,15.9
1027,2012,0,22.33
1029,2012,5.1931414,0
1031,2012,2.7936666,7.8
1033,2012,2.710485,5.51
1035,2012,7.8503842,23.11
1037,2012,0,36.48
1039,2012,3.2463512,7.9
1041,2012,5.3294502,28.4
1043,2012,2.229944,3.73
1045,2012,2.8159518,7.93
1047,2012,4.320148,37.3
1049,2012,4.108818,10.3
1051,2012,0,7.4
1053,2012,4.588677,15.7
1055,2012,6.1900816,10.2
1057,2012,0,23.55
1059,2012,3.5488114,0
1061,2012,3.8539296,14.85
1063,2012,6.7130728,33.8
1065,2012,5.0984588,19.5
1067,2012,4.810278,23.14
1069,2012,0,19.9
1071,2012,6.7280598,5.66
1073,2012,2.2019124,34.4
1075,2012,5.2964572,21.04
1077,2012,3.6009838,8.9
1079,2012,3.4381724,11.82
1081,2012,0,14.4
1083,2012,0,4.56
1085,2012,10.5132188,0
1087,2012,4.413495,14.61
1089,2012,1.87022102,13.9
1091,2012,4.4279662,0
1093,2012,0,13.19
1095,2012,2.9053324,3.17
1097,2012,3.8072292,26.3
1099,2012,7.28647,17.7
1101,2012,3.2292456,37
1103,2012,1.82274436,3.32
1105,2012,8.8644084,39.29
1107,2012,4.5401812,36.9
1109,2012,3.471992,17.5
1111,2012,4.2000684,0
1113,2012,3.7196832,14.9
1115,2012,0,7.1
1117,2012,0,7.3
1119,2012,5.4580874,22.34
1121,2012,2.2118428,7.2
1123,2012,3.1170954,9.72
1125,2012,2.458133,18.4
1127,2012,4.2568932,4.53
1129,2012,4.835236,23.38
1131,2012,11.830903,0
1133,2012,0,0
2013,2012,0,94.91
2016,2012,8.4918222,72.11
2020,2012,1.63678944,1
2050,2012,4.7476616,16.91
2060,2012,20.090612,302.72
2068,2012,0,213.33
2070,2012,0,79.46
2090,2012,2.8245882,3.99
2100,2012,0,117.55
2110,2012,3.5052134,12.29
2122,2012,3.7496338,7.03
2130,2012,12.0477552,29.03
2150,2012,5.3001756,28.09
2158,2012,0,38.42
2164,2012,0,241.84
2170,2012,3.5743742,4.26
2180,2012,0,30.26
2185,2012,0,31.11
2188,2012,0,51.22
2220,2012,0,44.22
2240,2012,0,55.99
2261,2012,11.1128264,41.16
2282,2012,0,598.8
2290,2012,8.326109,69.32
4001,2012,3.306011,17.6
4003,2012,0,5.4
