geoid,period,% White,% Black,% Asian,% Hispanic,% Owner occupied housing,% Foreign born,% Bachelor's degree,% Graduate or professional degree,% High school graduate or higher,% Service occupations,% Manufacturing,"% Management, business, science, and arts occupations","% Natural resources, construction, and maintenance occupations","% Production, transportation, and material moving occupations",% Poverty
17031430200,2018,8.5,90.2,0,5.6,14.3,5.7,11.1,12.2,85.6,27.6,1.9,32,0,15.6,25.2
17031430500,2018,1.5,96.5,0.3,1.9,9,2.2,2.3,5.5,79.8,26.3,2.3,31.6,3,18.7,56
17031431400,2018,7.8,88.6,0.3,1.1,14,6.6,11.5,10,90.3,35.1,7.5,29.3,2.1,14.1,31.3
17031440700,2018,2.6,,0,0,67.1,11.3,20.2,8.9,91.7,23.6,3.1,27.7,1.2,26.5,10.1
17031470100,2018,2,97,0,1.6,46.6,3,6.2,7.2,85.5,20,16,18.3,4.4,34.5,11.1
17031821402,2018,3.2,94.6,0,0.3,69.8,5.2,10.8,5.4,95.1,20.9,4.9,23.5,2.8,28.2,9.1
17031822101,2018,84.4,3.4,0.3,19.8,82.3,12,18.3,8.7,88.5,16.2,14,35.9,8,17.8,6.2
17031823102,2018,88.9,0.8,0.3,12.4,67.9,14.4,8.2,6.3,88,28.2,10.3,21,10.9,18.8,5.1
17031823304,2018,65.5,22.5,1.4,25.5,56.1,9.6,13.2,7.6,89.7,21.2,9.7,36.2,9.2,9.8,6.6
17031824507,2018,83.8,2.1,3.9,14.1,70.7,13.6,16.5,8.3,91.8,15.2,7.7,43.4,7,11.4,12.5
17031824800,2018,71.7,15,2.4,58.8,69.5,23.3,15.4,3.3,72.7,15.7,14.1,27.7,20.1,16.3,19.4
17031824900,2018,23.1,70.5,0.4,10,69.9,3.3,11.2,4.2,86.5,25.6,8.4,22.9,9.7,19.3,21.7
17031825400,2018,92.1,5.4,1.9,11.5,72.1,6.5,17.9,10,94.9,10.3,13.6,39.7,8.6,15.4,9.4
17031825501,2018,8.3,88.9,0,2,56,1.5,10.5,6.3,94.4,12.1,2.4,32.5,2,31,6.8
17031825503,2018,15,82.8,1.4,1.5,74.4,7.9,30.3,9.2,97.9,11.1,6.8,37.9,2.8,24.7,11.4
17031825505,2018,6.9,88,4.8,0.7,79.1,4.4,19.3,11.8,94.2,19,8.6,32.8,3,21.1,12.6
17031826202,2018,34.2,63.2,0,22.3,73.4,8.5,10.9,3.9,87.9,18.5,9.5,23.1,7.8,14.8,25.6
17031803603,2018,76.9,1,20.3,0,89.7,21.1,37.5,26.5,98.7,8.8,12.7,60.7,4.8,4.7,0.8
17031803610,2018,68.7,4.5,13.5,15.2,61.5,26.4,33.9,21.8,97.3,13.3,13.1,43.6,5.5,10.1,6.9
