Zipcode,variable,Confirmed_total,Confirmed_total_per_10k_pop,Confirmed_Cases,Confirmed_Cases_per_10k_pop,Vaccinated_total,vaccinated_total_per_10k_pop,vaccinated_people,vaccinated_per_10k_pop
91901,2020-03-31,0,0,0,0,0,0,0,0.00
91901,2020-04-01,1,0.54,1,0.54,0,0,0,0.00
91901,2020-04-02,1,0.54,0,0,0,0,0,0.00
91901,2020-04-03,1,0.54,0,0,0,0,0,0.00
91901,2020-04-04,1,0.54,0,0,0,0,0,0.00
91901,2020-04-05,1,0.54,0,0,0,0,0,0.00
91901,2020-04-06,1,0.54,0,0,0,0,0,0.00
91901,2020-04-07,1,0.54,0,0,0,0,0,0.00
91901,2020-04-08,1,0.54,0,0,0,0,0,0.00
91901,2020-04-09,1,0.54,0,0,0,0,0,0.00
91901,2020-04-10,1,0.54,0,0,0,0,0,0.00
91901,2020-04-11,1,0.54,0,0,0,0,0,0.00
91901,2020-04-12,1,0.54,0,0,0,0,0,0.00
91901,2020-04-13,1,0.54,0,0,0,0,0,0.00
91901,2020-04-14,1,0.54,0,0,0,0,0,0.00
91901,2020-04-15,2,1.08,1,0.54,0,0,0,0.00
91901,2020-04-16,2,1.08,0,0,0,0,0,0.00
91901,2020-04-17,2,1.08,0,0,0,0,0,0.00
91901,2020-04-18,2,1.08,0,0,0,0,0,0.00
91901,2020-04-19,2,1.08,0,0,0,0,0,0.00
91901,2020-04-20,3,1.62,1,0.54,0,0,0,0.00
91901,2020-04-21,3,1.62,0,0,0,0,0,0.00
91901,2020-04-22,3,1.62,0,0,0,0,0,0.00
91901,2020-04-23,4,2.16,1,0.54,0,0,0,0.00
91901,2020-04-24,4,2.16,0,0,0,0,0,0.00
91901,2020-04-25,4,2.16,0,0,0,0,0,0.00
91901,2020-04-26,4,2.16,0,0,0,0,0,0.00
91901,2020-04-27,4,2.16,0,0,0,0,0,0.00
91901,2020-04-28,4,2.16,0,0,0,0,0,0.00
91901,2020-04-29,4,2.16,0,0,0,0,0,0.00
91901,2020-04-30,4,2.16,0,0,0,0,0,0.00
91901,2020-05-01,4,2.16,0,0,0,0,0,0.00
91901,2020-05-02,4,2.16,0,0,0,0,0,0.00
91901,2020-05-03,4,2.16,0,0,0,0,0,0.00
91901,2020-05-04,4,2.16,0,0,0,0,0,0.00
91901,2020-05-05,5,2.69,1,0.54,0,0,0,0.00
91901,2020-05-06,5,2.69,0,0,0,0,0,0.00
91901,2020-05-07,5,2.69,0,0,0,0,0,0.00
91901,2020-05-08,5,2.69,0,0,0,0,0,0.00
91901,2020-05-09,5,2.69,0,0,0,0,0,0.00
91901,2020-05-10,5,2.69,0,0,0,0,0,0.00
91901,2020-05-11,5,2.69,0,0,0,0,0,0.00
91901,2020-05-12,8,4.31,3,1.62,0,0,0,0.00
91901,2020-05-13,9,4.85,1,0.54,0,0,0,0.00
91901,2020-05-14,8,4.31,0,0,0,0,0,0.00
91901,2020-05-15,8,4.31,0,0,0,0,0,0.00
91901,2020-05-16,8,4.31,0,0,0,0,0,0.00
91901,2020-05-17,8,4.31,0,0,0,0,0,0.00
91901,2020-05-18,8,4.31,0,0,0,0,0,0.00
91901,2020-05-19,9,4.85,1,0.54,0,0,0,0.00
91901,2020-05-20,9,4.85,0,0,0,0,0,0.00
91901,2020-05-21,9,4.85,0,0,0,0,0,0.00
91901,2020-05-22,10,5.39,1,0.54,0,0,0,0.00
91901,2020-05-23,10,5.39,0,0,0,0,0,0.00
91901,2020-05-24,10,5.39,0,0,0,0,0,0.00
91901,2020-05-25,10,5.39,0,0,0,0,0,0.00
91901,2020-05-26,10,5.39,0,0,0,0,0,0.00
91901,2020-05-27,10,5.39,0,0,0,0,0,0.00
91901,2020-05-28,10,5.39,0,0,0,0,0,0.00
91901,2020-05-29,10,5.39,0,0,0,0,0,0.00
91901,2020-05-30,10,5.39,0,0,0,0,0,0.00
91901,2020-05-31,11,5.93,1,0.54,0,0,0,0.00
91901,2020-06-01,11,5.93,0,0,0,0,0,0.00
91901,2020-06-02,11,5.93,0,0,0,0,0,0.00
91901,2020-06-03,11,5.93,0,0,0,0,0,0.00
91901,2020-06-04,11,5.93,0,0,0,0,0,0.00
91901,2020-06-05,12,6.47,1,0.54,0,0,0,0.00
91901,2020-06-06,13,7.01,1,0.54,0,0,0,0.00
91901,2020-06-07,13,7.01,0,0,0,0,0,0.00
91901,2020-06-08,13,7.01,0,0,0,0,0,0.00
91901,2020-06-09,13,7.01,0,0,0,0,0,0.00
91901,2020-06-10,14,7.54,1,0.54,0,0,0,0.00
91901,2020-06-11,14,7.54,0,0,0,0,0,0.00
91901,2020-06-12,14,7.54,0,0,0,0,0,0.00
91901,2020-06-13,14,7.54,0,0,0,0,0,0.00
91901,2020-06-14,15,8.08,1,0.54,0,0,0,0.00
91901,2020-06-15,15,8.08,0,0,0,0,0,0.00
91901,2020-06-16,16,8.62,1,0.54,0,0,0,0.00
91901,2020-06-17,17,9.16,1,0.54,0,0,0,0.00
91901,2020-06-18,18,9.7,1,0.54,0,0,0,0.00
