Zipcode,variable,Confirmed_total,Confirmed_total_per_10k_pop,Confirmed_Cases,Confirmed_Cases_per_10k_pop,Vaccinated_total,vaccinated_total_per_10k_pop,vaccinated_people,vaccinated_per_10k_pop
91901,2021-02-23,1196,644.47,3,1.62,3095,1667.74,0,0
91901,2021-02-24,1199,646.08,3,1.62,3167,1706.54,72,38.8
91901,2021-02-25,1201,647.16,2,1.08,3210,1729.71,43,23.17
91901,2021-02-26,1201,647.16,0,0,3238,1744.8,28,15.09
91901,2021-02-27,1203,648.24,2,1.08,3263,1758.27,25,13.47
91901,2021-02-28,1204,648.78,1,0.54,3290,1772.82,27,14.55
91901,2021-03-01,1207,650.39,3,1.62,3327,1792.76,37,19.94
91901,2021-03-02,1208,650.93,1,0.54,3358,1809.46,31,16.7
91901,2021-03-03,1212,653.09,4,2.16,3440,1853.65,82,44.19
91901,2021-03-04,1212,653.09,0,0,3470,1869.81,30,16.17
91901,2021-03-05,1215,654.7,3,1.62,3517,1895.14,47,25.33
91901,2021-03-06,1215,654.7,0,0,3526,1899.99,9,4.85
91901,2021-03-07,1215,654.7,0,0,3547,1911.31,21,11.32
91901,2021-03-08,1219,656.86,4,2.16,3571,1924.24,24,12.93
91901,2021-03-09,1220,657.4,1,0.54,3650,1966.81,79,42.57
91901,2021-03-10,1221,657.94,1,0.54,3725,2007.22,75,40.41
91901,2021-03-11,1223,659.01,2,1.08,3771,2032.01,46,24.79
91901,2021-03-12,1225,660.09,2,1.08,3831,2064.34,60,32.33
91901,2021-03-13,1225,660.09,0,0,3903,2103.14,72,38.8
91901,2021-03-14,1225,660.09,0,0,3925,2114.99,22,11.85
91901,2021-03-15,1226,660.63,1,0.54,3963,2135.47,38,20.48
91901,2021-03-16,1229,662.25,3,1.62,4015,2163.49,52,28.02
91901,2021-03-17,1229,662.25,0,0,4081,2199.05,66,35.56
91901,2021-03-18,1230,662.79,1,0.54,4146,2234.08,65,35.03
91901,2021-03-19,1230,662.79,0,0,4200,2263.17,54,29.1
91901,2021-03-20,1231,663.33,1,0.54,4259,2294.97,59,31.79
91901,2021-03-21,1232,663.86,1,0.54,4305,2319.75,46,24.79
91901,2021-03-22,1235,665.48,3,1.62,4337,2337,32,17.24
91901,2021-03-23,1234,664.94,0,0,4390,2365.56,53,28.56
91901,2021-03-24,1235,665.48,1,0.54,4429,2386.57,39,21.02
91901,2021-03-25,1241,668.71,6,3.23,4478,2412.98,49,26.4
91901,2021-03-26,1242,669.25,1,0.54,4517,2433.99,39,21.02
91901,2021-03-27,1243,669.79,1,0.54,4566,2460.39,49,26.4
91901,2021-03-28,1246,671.41,3,1.62,4589,2472.79,23,12.39
91901,2021-03-29,1249,673.03,3,1.62,4620,2489.49,31,16.7
91901,2021-03-30,1249,673.03,0,0,4620,2489.49,0,0
91901,2021-03-31,1250,673.56,1,0.54,4750,2559.54,130,70.05
91901,2021-04-01,1253,675.18,3,1.62,4866,2622.05,116,62.51
91901,2021-04-02,1255,676.26,2,1.08,4930,2656.54,64,34.49
91901,2021-04-03,1255,676.26,0,0,5016,2702.88,86,46.34
91901,2021-04-04,1256,676.8,1,0.54,5096,2745.99,80,43.11
91901,2021-04-05,1258,677.87,2,1.08,5124,2761.07,28,15.09
91901,2021-04-06,1261,679.49,3,1.62,5149,2774.54,25,13.47
91901,2021-04-07,1264,681.11,3,1.62,5305,2858.61,156,84.06
91901,2021-04-08,1269,683.8,5,2.69,5390,2904.41,85,45.8
91901,2021-04-09,1271,684.88,2,1.08,5470,2947.52,80,43.11
91901,2021-04-10,1273,685.96,2,1.08,5521,2975,51,27.48
91901,2021-04-11,1274,686.5,1,0.54,5607,3021.34,86,46.34
91901,2021-04-12,1274,686.5,0,0,5591,3012.72,0,0
91901,2021-04-13,1274,686.5,0,0,5699,3070.91,108,58.2
91901,2021-04-14,1275,687.04,1,0.54,5758,3102.71,59,31.79
91901,2021-04-15,1279,689.19,4,2.16,5835,3144.2,77,41.49
91901,2021-04-16,1280,689.73,1,0.54,5915,3187.3,80,43.11
91901,2021-04-17,1282,690.81,2,1.08,5947,3204.55,32,17.24
91901,2021-04-18,1282,690.81,0,0,5961,3212.09,14,7.54
91901,2021-04-19,1283,691.35,1,0.54,5977,3220.71,16,8.62
91901,2021-04-20,1283,691.35,0,0,6018,3242.81,41,22.09
91901,2021-04-21,1283,691.35,0,0,6066,3268.67,48,25.86
91901,2021-04-22,1276,687.57,0,0,6123,3299.39,57,30.71
91901,2021-04-23,1277,688.11,1,0.54,6168,3323.63,45,24.25
91901,2021-04-24,1277,688.11,0,0,6225,3354.35,57,30.71
91901,2021-04-25,1277,688.11,0,0,6260,3373.21,35,18.86
91901,2021-04-26,1281,690.27,4,2.16,6270,3378.6,10,5.39
91901,2021-04-27,1282,690.81,1,0.54,6345,3419.01,75,40.41
91901,2021-04-28,1283,691.35,1,0.54,6390,3443.26,45,24.25
91901,2021-04-29,1285,692.42,2,1.08,6453,3477.21,63,33.95
91901,2021-04-30,1285,692.42,0,0,6506,3505.77,53,28.56
91901,2021-05-01,1285,692.42,0,0,6537,3522.47,31,16.7
91901,2021-05-02,1288,694.04,3,1.62,6550,3529.48,13,7.01
91901,2021-05-03,1289,694.58,1,0.54,6566,3538.1,16,8.62
91901,2021-05-04,1289,694.58,0,0,6631,3573.12,65,35.03
91901,2021-05-05,1291,695.66,2,1.08,6685,3602.22,54,29.1
91901,2021-05-06,1292,696.2,1,0.54,6724,3623.24,39,21.02
91901,2021-05-07,1293,696.73,1,0.54,6766,3645.87,42,22.63
91901,2021-05-08,1295,697.81,2,1.08,6811,3670.12,45,24.25
91901,2021-05-09,1300,700.51,5,2.69,6848,3690.05,37,19.94
91901,2021-05-10,1302,701.58,2,1.08,6855,3693.82,7,3.77
91901,2021-05-11,1302,701.58,0,0,6901,3718.61,46,24.79
91901,2021-05-12,1303,702.12,1,0.54,6936,3737.47,35,18.86
91901,2021-05-13,1303,702.12,0,0,6973,3757.41,37,19.94
91901,2021-05-14,1306,703.74,3,1.62,7012,3778.42,39,21.02
91901,2021-05-15,1306,703.74,0,0,7051,3799.44,39,21.02
91901,2021-05-16,1307,704.28,1,0.54,7091,3820.99,40,21.55
91901,2021-05-17,1308,704.82,1,0.54,7097,3824.23,6,3.23
91901,2021-05-18,1308,704.82,0,0,7146,3850.63,49,26.4
91901,2021-05-19,1310,705.9,2,1.08,7176,3866.8,30,16.17
91901,2021-05-20,1309,705.36,0,0,7237,3899.67,61,32.87
91901,2021-05-21,1310,705.9,1,0.54,7295,3930.92,58,31.25
91901,2021-05-22,1310,705.9,0,0,7330,3949.78,35,18.86
91901,2021-05-23,1310,705.9,0,0,7343,3956.78,13,7.01
91901,2021-05-24,1310,705.9,0,0,7352,3961.63,9,4.85
